NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
Corgi's Cafe-Food-Bar,,cafe,,node,2920169479,23.3214609,42.6939548
Martines,,cafe,,node,2920170500,23.3218497,42.6944284
Momo,,fast_food,,node,2920189641,23.3223854,42.6938817
Rock 'n Rolla,,bar,,node,2921147815,23.3225461,42.6944292
Лампата,,restaurant,,node,2921150161,23.321546,42.690165
Fantastic Food,,fast_food,,node,2923434101,23.3234779,42.7043345
Ikram,,restaurant,,node,2923450401,23.3222798,42.7004236
Мамин Кольо,,restaurant,,node,2924272801,23.2958544,42.6840051
Kuzina,,restaurant,,node,2930764201,23.3215198,42.6893374
Cafe 44,,restaurant,,node,2930775895,23.3209289,42.6899607
Teos bar,,cafe,,node,2932603242,23.3219092,42.6896083
Annette,Annette Maroccan Restaurant,restaurant,,node,2932624982,23.3220433,42.6903517
Izbata 2,,restaurant,,node,2934026456,23.3232546,42.6911278
Дивака,,restaurant,,node,2934032371,23.3224714,42.6911674
Niko'las,,restaurant,,node,2934789714,23.3226964,42.692004
Дупката,,bar,,node,2934794198,23.3235687,42.6925613
Виктория,Victoria,restaurant,,node,2936557998,23.3300885,42.6951341
Kanaal,,bar,,node,2936560152,23.347275,42.6959028
120ска,120ska,bar,,node,2979066403,23.3725373,42.647392
,,fast_food,,node,2987238430,23.3415633,42.6604935
Roderic,,bar,,node,2992234406,23.3286866,42.6902086
Манастирска Магерница,Manastirska Magernitsa,restaurant,,node,3007629877,23.3246,42.6893428
Starbucks,,cafe,,node,3011611339,23.3215039,42.6861238
При Орлите,,restaurant,,node,3016618977,23.3252195,42.6937277
Forest Cafe,,cafe,,node,3016622518,23.3291368,42.6695349
Lege,,bar,,node,3019206155,23.3235027,42.6954437
Grand Café,,cafe,,node,3019206157,23.3247834,42.6943152
Чекпойнт Чарли,Checkpoint Charly,restaurant,,node,3019210968,23.3277671,42.6928486
Жул Верн,,bar,,node,3019220124,23.3284539,42.6938046
Бистро Дървеното,,restaurant,,node,3020078738,23.3602422,42.7028362
The Irish Harp,,pub,,node,3021098136,23.3198442,42.696494
Халбите,,pub,,node,3021273930,23.3168245,42.6955805
Green Deli Cafe,,cafe,,node,3022268400,23.3177095,42.6971596
Гурманова тайна,,restaurant,,node,3022275278,23.3179068,42.6971242
Subway,,fast_food,,node,3022275279,23.3180382,42.697075
Mr. Gyros,,fast_food,,node,3022368766,23.3176311,42.696964
Versus,,bar,,node,3022368769,23.3178366,42.696899
Morgan's Bar,,bar,,node,3022431898,23.3170771,42.6972122
